Gloria Jaime Filemon
Tatiana Fabian Ester
Eligia Paulino Remigio
Ascension Adriana Apolonia
Aurelia Estrella Matias
Cristina Maria Fernanda Matilde
Emiliano Filemon Yadira
Asuncion Candelaria Rosaura
Salomon Justo Coral
Ramon Macario Evangelina
Alfredo Fabian America
Dario Amilcar Coral
Amado Bethania David
Albino Justo Roxana
Rosario Selena Loida
Vinicio Jeronimo Delia
Florian Jovita Basilio
Regulo Selena Atilio
Estela Yaiza Florian
Omar Jimena Aristides
Ingrid Nazaret Marta
Filemon Telesforo Vasco
Anastacio Pia Eufemia
Nicolasa Cecilia Silvio
Lucas Yasmina Telmo
Ildefonso Agapito Vasco
Brunilda Alfredo Arcelia
Evangelina Natalio Jenaro
Fausto Jacinto Aitana
Geraldo Heraclio Ariadna
